p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
4.69236315335624e-11	-1.17783642000462	0.065	0.16	1.57372475437262e-06	ATF3	Control
4.85928612700979e-11	0.544709894033395	0.516	0.367	1.62970738127654e-06	PPP1CC	Control
5.54773189879564e-11	0.299919552280267	0.941	0.91	1.86059832421808e-06	CD48	Control
5.75240567685109e-11	-0.668601748727601	0.426	0.56	1.92924181590232e-06	NFKBIZ	Control
7.66027137084906e-11	-0.57608585463999	0.563	0.668	2.56910181235536e-06	ISG20	Control
7.84271169575253e-11	0.368404454607473	0.822	0.736	2.63028864852148e-06	LIMD2	Control
9.15130335755882e-11	0.416092576823966	0.776	0.689	3.06916412005808e-06	CNN2	Control
1.24130158713981e-10	0.706208139827991	0.394	0.264	4.1630772629495e-06	GOLGA8B	Control
1.27818936548316e-10	-0.196302127994804	1	1	4.28679149395743e-06	RPL8	Control
1.27874885706998e-10	0.280628193030228	0.987	0.996	4.28866791684129e-06	DUSP1	Control
1.33083231689007e-10	0.195863435072061	1	1	4.46334542438591e-06	RPSA	Control
1.40745956098138e-10	0.387010831679136	0.905	0.866	4.72033787561936e-06	LTB	Control
1.63436356422697e-10	0.417917131055031	0.713	0.583	5.48132852170441e-06	TC2N	Control
1.71677632825248e-10	0.349604876096261	0.82	0.705	5.75772444969317e-06	PDIA3	Control
1.88509612608663e-10	-0.179586770607366	0.999	0.999	6.32223538766933e-06	MT-CO3	Control
2.24441351640034e-10	0.252733678827106	0.971	0.954	7.52731405130346e-06	HNRNPA2B1	Control
2.47321957055561e-10	0.502322126622012	0.556	0.419	8.29468379572939e-06	ATP6AP2	Control
2.59928368151165e-10	0.366559704854477	0.875	0.802	8.71747761105379e-06	SLC2A3	Control
2.99058569138211e-10	-0.19942812753855	0.996	0.999	1.00298262917573e-05	MT-ATP6	Control
3.22274186618157e-10	0.382000115575307	0.817	0.71	1.08084316707998e-05	AHNAK	Control
3.50697179113266e-10	-0.719500547438859	0.423	0.531	1.17616819931007e-05	SOCS1	Control
3.65881977053323e-10	-0.526403035633589	0.413	0.545	1.22709497464143e-05	PIK3IP1	Control
6.69905806964716e-10	0.633816843444539	0.46	0.331	2.24673009539826e-05	KCNA3	Control
7.03291030265965e-10	0.507804541471041	0.508	0.366	2.35869745730599e-05	CAPG	Control
7.07344012484479e-10	-0.956708965904748	0.137	0.247	2.37229034907045e-05	ARID5B	Control
8.81682176146783e-10	0.572857289999067	0.516	0.391	2.95698568236108e-05	CYFIP2	Control
9.02993817108491e-10	0.466196776707435	0.545	0.417	3.02846066381846e-05	SRPRA	Control
9.10983402609877e-10	0.388181100529408	0.75	0.659	3.055256135673e-05	SKAP1	Control
1.05870248235423e-09	0.169103828168225	1	1	3.55067638531963e-05	RPL12	Control
1.16563393491338e-09	-1.2140070021894	0.172	0.278	3.9093030909125e-05	DUSP5	Control
1.34377137798087e-09	0.812779455283667	0.468	0.348	4.50674044747225e-05	TNF	Control
1.36345849784203e-09	1.62464228126403	0.109	0.038	4.57276711006261e-05	CENPK	Control
