p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
0.539446686897239	-0.181838322985813	0.074	0.082	1	TAX1BP3	Control
0.733368752616296	-0.181838322985813	0.025	0.028	1	AC139530.1	Control
0.733368752616296	-0.181838322985813	0.025	0.028	1	ARHGEF18	Control
0.837477646880489	-0.181838322985813	0.025	0.027	1	STRN4	Control
0.242305320870191	0.181807950703993	0.413	0.391	1	CCR6	Control
0.302899718295307	0.181681835485513	0.102	0.087	1	PARP16	Control
0.0293599250230048	0.181681835485512	0.41	0.355	1	PHF3	Control
0.276264106300187	0.181571811078146	0.154	0.136	1	RNF24	Control
0.372200936202155	0.181571811078146	0.143	0.129	1	KLF3	Control
0.385570126170116	0.181389110509183	0.167	0.152	1	CD151	Control
0.500122731267819	0.181389110509183	0.062	0.054	1	ZNF623	Control
0.562911468559447	0.181389110509183	0.061	0.054	1	MBOAT1	Control
0.0438091533506849	0.181312434628063	0.328	0.281	1	OTUD6B-AS1	Control
0.0851521104981652	0.181243552819417	0.174	0.144	1	TMIGD2	Control
0.220503446387564	0.181243552819417	0.192	0.17	1	DCAF8	Control
0.433395145862441	0.181026214005977	0.08	0.07	1	TIMM44	Control
0.482493162621407	0.181026214005977	0.08	0.071	1	SUGP2	Control
0.237267617257887	0.180810063726017	0.102	0.085	1	RBM28	Control
0.415928390974376	0.180810063726017	0.101	0.09	1	PRPF4	Control
0.133405001928065	0.180666619028819	0.125	0.101	1	NR2C2AP	Control
0.232936406550323	0.180564477711145	0.14	0.12	1	PIBF1	Control
0.149874223645135	0.180488045561468	0.166	0.141	1	ATP6V1H	Control
0.270512883405626	0.180488045561468	0.157	0.139	1	STAG1	Control
0.557886198238029	-0.180445087685947	0.152	0.161	1	MAP3K4	Control
0.478375477872703	-0.180445087685946	0.04	0.047	1	ZER1	Control
0.00702709599734196	0.180392225900196	0.588	0.518	1	RTRAF	Control
0.206648619840217	0.180381289971594	0.198	0.175	1	COX19	Control
0.283297684368909	0.180381289971594	0.197	0.178	1	COA6	Control
0.435508813974035	0.180310280716233	0.222	0.21	1	YIPF3	Control
0.2416364580245	0.180283003699738	0.428	0.412	1	RBM4	Control
0.0523267125933232	0.180239399962836	0.287	0.244	1	CHMP3	Control
0.373956823301253	0.179957155016051	0.104	0.092	1	SNAP47	Control
0.415056007832059	0.179957155016051	0.102	0.091	1	ATP9B	Control
0.33143220610494	0.179957155016051	0.156	0.14	1	DMTF1	Control
0.641329581285591	0.179957155016051	0.081	0.076	1	ZNF672	Control
0.507863068086182	0.179957155016051	0.041	0.035	1	ACER3	Control
0.58487624862193	0.179957155016051	0.042	0.037	1	METTL22	Control
0.703798958042768	0.179957155016051	0.019	0.017	1	LINC00092	Control
0.832856504705702	0.179957155016051	0.019	0.018	1	EID2	Control
0.974312130082556	0.179957155016051	0.018	0.018	1	MAGI3	Control
0.262844684708717	0.179765879571172	0.35	0.333	1	TBCC	Control
0.00540911979474067	0.179667311712035	0.509	0.434	1	SF3B6	Control
0.131868865926436	0.179607198667243	0.224	0.195	1	ADAM10	Control
0.243368017710466	0.179575540137252	0.213	0.192	1	ACTR10	Control
0.225871087126539	0.179433395692496	0.165	0.144	1	DNAJA3	Control
0.294553498495843	0.179359146700385	0.119	0.103	1	ARMH1	Control
0.0355498475353957	0.179291771028884	0.603	0.57	1	MINOS1	Control
0.0406100281730722	-0.179227109529275	0.221	0.267	1	TNFSF12	Control
0.000219600038909468	0.179130294119284	0.905	0.891	1	SKP1	Control
0.0795921466878174	0.179050768706858	0.364	0.328	1	SPTAN1	Control
0.567775172410338	0.178995678778606	0.236	0.23	1	AIMP1	Control
0.26389556906745	0.178711841998816	0.201	0.181	1	TPGS1	Control
0.186487531045101	0.178637645511875	0.372	0.344	1	CASP1	Control
0.49964630421279	0.17857592461769	0.063	0.055	1	GRAP	Control
0.564760330605157	0.17857592461769	0.059	0.053	1	RFLNB	Control
0.566849581888789	0.17857592461769	0.061	0.054	1	ARSG	Control
0.0160466043329242	0.178452780488822	0.414	0.356	1	COPS6	Control
0.247315298077881	0.178406703452652	0.165	0.145	1	PLEKHF2	Control
0.216927509956414	0.178305529144893	0.204	0.181	1	ZNF32	Control
0.243721702642228	0.178305529144893	0.101	0.084	1	CDR2	Control
0.27660847792121	0.178190228841863	0.144	0.127	1	CRCP	Control
0.447172277917942	-0.178153276177957	0.302	0.312	1	TMEM259	Control
0.422063942104986	-0.178153276177957	0.19	0.203	1	BABAM2	Control
0.436692002311904	-0.178153276177957	0.013	0.017	1	LRRC8C-DT	Control
0.500733032865381	-0.178153276177957	0.078	0.086	1	TMEM250	Control
0.610435905088729	-0.178153276177957	0.031	0.035	1	CHAC2	Control
0.65666222054216	-0.178153276177957	0.077	0.082	1	KMT2D	Control
0.692055060376013	-0.178153276177957	0.014	0.016	1	AL021453.1	Control
0.696601364673987	-0.178153276177957	0.031	0.034	1	SNHG19	Control
0.711561947660013	-0.178153276177957	0.015	0.017	1	ZKSCAN3	Control
0.711561947660013	-0.178153276177957	0.015	0.017	1	USP44	Control
0.845274375316927	-0.178153276177957	0.015	0.016	1	GRASP	Control
0.845274375316927	-0.178153276177957	0.015	0.016	1	CAPS	Control
0.0252493834019406	0.178037035845607	0.485	0.436	1	EIF3I	Control
0.067912656116964	0.178021300930369	0.328	0.288	1	TEX264	Control
0.80548890847457	0.177903496248077	0.114	0.112	1	DESI2	Control
0.104583902748814	0.177903496248077	0.445	0.414	1	PSMF1	Control
0.47804617150072	0.177903496248077	0.085	0.076	1	ARID3B	Control
0.581919879721849	0.177903496248077	0.084	0.077	1	TRIM65	Control
0.123661246793522	0.177505676021955	0.289	0.258	1	ERLEC1	Control
0.214304728986989	0.177505676021955	0.109	0.091	1	BROX	Control
0.293183270074312	0.177406871444244	0.166	0.148	1	GET4	Control
0.0107086599844862	0.177362045672801	0.498	0.437	1	TUBB4B	Control
0.359649424775744	0.177242770319015	0.177	0.162	1	THUMPD3-AS1	Control
0.562970371571681	0.177242770319015	0.176	0.168	1	GINM1	Control
0.557186282847146	0.177242770319015	0.065	0.059	1	ZNF48	Control
0.62352001629848	0.177242770319015	0.063	0.058	1	TBC1D13	Control
0.000223705185479566	-0.177017265955564	0.957	0.968	1	KLF6	Control
0.0910492910811878	0.176981688422802	0.287	0.252	1	RRAGA	Control
0.113216294162656	0.176916700696	0.36	0.33	1	ABI1	Control
0.479519723234644	0.176916700696	0.084	0.075	1	SLC25A17	Control
0.533934876655717	0.176916700696	0.084	0.076	1	OGG1	Control
0.271573040448165	0.176808637698992	0.19	0.171	1	GLRX5	Control
0.370576721124379	0.17672241141675	0.11	0.097	1	AIFM1	Control
0.495590592522198	0.17672241141675	0.105	0.096	1	POC1B	Control
0.233908562738018	0.176593443907534	0.127	0.109	1	RUSC1	Control
0.208341980479187	-0.176346519472326	0.097	0.116	1	RTL8A	Control
0.626327395793245	-0.176346519472326	0.05	0.055	1	ALKBH5	Control
0.287896876174129	0.17630198447486	0.216	0.197	1	HCFC1R1	Control
0.384239002431981	0.175955224458555	0.199	0.184	1	CNOT1	Control
