statistic	p.value	sumsq	meansq	gene	method	p_adjust
38.6441311439648	7.34775668933011e-17	71.6128837851785	35.8064418925892	CST7	anova	6.40854049604103e-15
38.38957745922	9.29817767618132e-17	71.1765035641491	35.5882517820746	GLUD1	anova	8.06222692425382e-15
38.1679400571196	1.14146147812631e-16	70.7961983138182	35.3980991569091	NGFRAP1	anova	9.83979612568535e-15
37.7365163067881	1.70190932267433e-16	70.0549781949832	35.0274890974916	ARID4B	anova	1.45862482816719e-14
37.7184010470728	1.73070778920557e-16	70.0238274046802	35.0119137023401	RASSF5	anova	1.47478186152592e-14
37.6257743394108	1.88577235883393e-16	69.8645131172134	34.9322565586067	CDC42	anova	1.59773410082461e-14
37.5757031097316	1.97531653861882e-16	69.7783685527929	34.8891842763965	MRPL23	anova	1.66409194989211e-14
37.4298581929022	2.26116552341015e-16	69.5273549512729	34.7636774756365	ATP1A1	anova	1.89414131161595e-14
37.3808139753784	2.36632332732096e-16	69.442912808065	34.7214564040325	COX2	anova	1.97109415585325e-14
37.2334377624084	2.71274336677003e-16	69.1890695356409	34.5945347678204	CCNL1	anova	2.24703049715638e-14
37.1910639315289	2.82144674338357e-16	69.116057043761	34.5580285218805	PCBP2	anova	2.32408838134156e-14
37.0995113894656	3.07144807977407e-16	68.9582655326302	34.4791327663151	WDR1	anova	2.5160420264536e-14
37.0868897148771	3.10761260125765e-16	68.9365075452995	34.4682537726498	DDX17	anova	2.53167978235424e-14
36.9617592708468	3.49006155329558e-16	68.720742149887	34.3603710749435	U2AF1	anova	2.82771271315375e-14
36.8620594934377	3.82828196686155e-16	68.5487517970899	34.2743758985449	ERAP2	anova	3.08488786536175e-14
36.7398960646967	4.28781902608344e-16	68.3379182444768	34.1689591222384	IDS	anova	3.42396452541063e-14
36.7380291551792	4.29525461473243e-16	68.3346954898792	34.1673477449396	PPP4R2	anova	3.42396452541063e-14
36.4661162246689	5.52858511219289e-16	67.865053746659	33.9325268733295	LOC554223	anova	4.38354713681732e-14
36.1880305105958	7.15794135771273e-16	67.3842327321162	33.6921163660581	PHLDA1	anova	5.64525513355355e-14
36.0921273310076	7.82506065865139e-16	67.2182908288789	33.6091454144394	SF1	anova	6.13873938549334e-14
36.068549331707	7.99840148077025e-16	67.1774841048637	33.5887420524318	PPDPF	anova	6.24169993449371e-14
36.0545380218104	8.10322727880979e-16	67.153232776953	33.5766163884765	TMC8	anova	6.29039533313679e-14
36.0037588628866	8.49480213017645e-16	67.0653310399185	33.5326655199592	SMAD1	anova	6.56002245750658e-14
35.6939502216298	1.13302895117899e-15	66.5286544911972	33.2643272455986	TNIP1	anova	8.70436282856523e-14
35.6468866553318	1.18372264004518e-15	66.4470699405398	33.2235349702699	STK17A	anova	9.04693586801544e-14
35.5435145056221	1.3031909874678e-15	66.2678217249068	33.1339108624534	TNIK	anova	9.90892962624874e-14
35.5024009772199	1.35399981129143e-15	66.1965102886078	33.0982551443039	RAC2	anova	1.02427322459276e-13
35.4916978726361	1.36754949195152e-15	66.1779438601038	33.0889719300519	METTL9	anova	1.02927189427234e-13
35.4514687455132	1.41970435615401e-15	66.1081523450494	33.0540761725247	ARHGDIB	anova	1.06312911559068e-13
35.3877922776776	1.50636239219541e-15	65.9976606692366	32.9988303346183	TPM4	anova	1.11674175945407e-13
35.3894830723717	1.50399424970888e-15	66.0005949003399	33.0002974501699	CALCOCO2	anova	1.11674175945407e-13
35.3722458109028	1.52831280971736e-15	65.9706801788187	32.9853400894094	VASP	anova	1.12737781242186e-13
35.2803698145294	1.66473835608389e-15	65.8111981343576	32.9055990671788	SRSF5	anova	1.22193443592356e-13
35.0149720409948	2.13132682676131e-15	65.3501866665447	32.6750933332723	MIR4435-1HG	anova	1.55670851529015e-13
34.8075148419017	2.58563305808007e-15	64.9894864663729	32.4947432331865	RPS23	anova	1.87927359569379e-13
34.80169191532	2.59969722420746e-15	64.9793580581419	32.489679029071	CD2	anova	1.88027857284507e-13
34.7357819356475	2.76433678361851e-15	64.8646979642556	32.4323489821278	SNX20	anova	1.98965152867533e-13
