Sample	seurat_clusters	nCells	nCellsPerCluster	percCellsPerSample	nCellsPerSample	CellFraction
LT5	10	69	3897	0.0246869409660107	2795	0.0177059276366436
LT5	11	146	3771	0.0522361359570662	2795	0.0387165208167595
LT5	12	249	2967	0.089087656529517	2795	0.0839231547017189
LT5	13	33	2730	0.0118067978533095	2795	0.0120879120879121
LT5	14	201	2561	0.0719141323792487	2795	0.0784849668098399
LT5	15	85	2365	0.0304114490161002	2795	0.0359408033826638
LT5	16	48	1451	0.0171735241502683	2795	0.0330806340454859
LT5	17	170	1300	0.0608228980322004	2795	0.130769230769231
LT5	18	96	1267	0.0343470483005367	2795	0.0757695343330703
LT5	19	8	169	0.00286225402504472	2795	0.0473372781065089
LT6	0	217	10395	0.061212976022567	3545	0.0208754208754209
LT6	1	172	7749	0.0485190409026798	3545	0.0221964124403149
LT6	2	242	7361	0.0682651622002821	3545	0.0328759679391387
LT6	3	469	6321	0.132299012693935	3545	0.0741971207087486
LT6	4	38	5469	0.0107193229901269	3545	0.00694825379411227
LT6	5	78	5085	0.0220028208744711	3545	0.0153392330383481
LT6	6	72	4521	0.0203102961918195	3545	0.0159256801592568
LT6	7	149	4318	0.0420310296191819	3545	0.0345067160722557
LT6	8	696	4118	0.196332863187588	3545	0.169014084507042
LT6	9	3	4101	0.000846262341325811	3545	0.000731528895391368
LT6	10	68	3897	0.019181946403385	3545	0.0174493199897357
LT6	11	228	3771	0.0643159379407616	3545	0.060461416070008
LT6	12	171	2967	0.0482369534555712	3545	0.057633973710819
LT6	13	12	2730	0.00338504936530324	3545	0.0043956043956044
LT6	14	106	2561	0.029901269393512	3545	0.0413900819992191
LT6	15	109	2365	0.0307475317348378	3545	0.0460887949260042
LT6	16	155	1451	0.0437235543018336	3545	0.106822880771881
LT6	17	288	1300	0.0812411847672779	3545	0.221538461538462
LT6	18	240	1267	0.0677009873060649	3545	0.189423835832676
LT6	19	32	169	0.00902679830747532	3545	0.189349112426035
