Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Leukocyte transendothelial migration	7/114	6.76384436711077e-05	0.000464139665191394	7.63252778853066	73.2824488916938	MYL12B;ACTB;MYL12A;PXN;ACTG1;ITGB2;CXCR4	29	KEGG_2021_Human
Focal adhesion	9/201	7.48047165153851e-05	0.000496204619552054	5.51047904191617	52.3530204057601	MYL12B;ACTB;MYL12A;PPP1CA;ZYX;CCND3;PXN;ACTG1;ITGA1	30	KEGG_2021_Human
Autoimmune thyroid disease	5/53	0.000101640591747877	0.000652467024446049	12.046783625731	110.758942746868	GZMB;HLA-C;HLA-B;CD40LG;HLA-DRB1	31	KEGG_2021_Human
Platelet activation	7/124	0.000114966387535285	0.000714947222485055	6.97663480503717	63.2841526187154	PPP1CA;MYL12B;ACTB;MYL12A;ACTG1;APBB1IP;LCP2	32	KEGG_2021_Human
Osteoclast differentiation	7/127	0.000133496437163994	0.000805023969564693	6.80118343195266	60.6763211372057	TNF;NFKBIA;LCP2;STAT1;FOS;LCK;FOSB	33	KEGG_2021_Human
IL-17 signaling pathway	6/94	0.000182990244502868	0.00107103113694326	7.91550802139037	68.121477187939	HSP90AA1;NFKBIA;TNFAIP3;TNF;FOS;FOSB	34	KEGG_2021_Human
Coronavirus disease	9/232	0.000221069682442436	0.00125693905160128	4.73695658011332	39.8711179642185	RPL8;RPS14;STAT1;FOS;RPS9;TNF;RPS2;NFKBIA;RPL36A	35	KEGG_2021_Human
Measles	7/139	0.000233391069655873	0.00129013396837552	6.17912856374395	51.6747860801854	CCND3;NFKBIA;TNFAIP3;CD3G;CD3E;STAT1;FOS	36	KEGG_2021_Human
Apoptosis	7/142	0.000265991965929799	0.00143060543837919	6.04089414858646	49.7289091664884	TNF;ACTB;ACTG1;NFKBIA;CTSW;GZMB;FOS	37	KEGG_2021_Human
Chagas disease	6/102	0.000285612951698623	0.00149570993126384	7.25294117647059	59.190331668543	TNF;NFKBIA;CD3G;CD3E;FOS;CCL5	38	KEGG_2021_Human
NF-kappa B signaling pathway	6/104	0.000317228269960847	0.00161867758262073	7.10420168067227	57.230659808784	TNF;NFKBIA;LAT;TNFAIP3;LCK;CD40LG	39	KEGG_2021_Human
Endocytosis	9/252	0.000405831846068995	0.00201901343419325	4.34264803725882	33.914221025495	HLA-C;HLA-B;CXCR4;LDLR;ARPC5;ACTR3;GRK6;SMAP2;PSD4	40	KEGG_2021_Human
