p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
4.33371769192295e-07	-0.440870774544402	0.656	0.76	0.0145344223951712	TUBA1B	Colitis
4.40580289159441e-07	0.579371674642971	0.6	0.497	0.0147761817378293	SDCBP	Colitis
4.45856152173673e-07	0.528537656977093	0.634	0.504	0.0149531236316006	TRIM22	Colitis
4.5479818876098e-07	0.232686342542366	0.994	0.997	0.0152530216546657	RPS9	Colitis
4.69464140862609e-07	-0.418073327064076	0.623	0.731	0.0157448883562502	PPP1CA	Colitis
4.90142764961609e-07	0.67570565969863	0.541	0.425	0.0164384080512824	HMGB2	Colitis
5.40483042897156e-07	-0.252253338284111	0.958	0.968	0.0181267202926848	LAPTM5	Colitis
5.58301721565644e-07	0.801141305103834	0.296	0.18	0.0187243231378686	RUNX2	Colitis
5.64586002998676e-07	-0.739602699754047	0.172	0.309	0.0189350853685696	GPR108	Colitis
5.70003215839998e-07	-4.63189881464206	0	0.067	0.0191167678528419	GATD3A	Colitis
5.7838614302207e-07	1.91067403929548	0.076	0.023	0.0193979144646742	DUSP4	Colitis
5.82143469081703e-07	-0.411834604005431	0.623	0.739	0.0195239276660622	TRAF3IP3	Colitis
5.90839981167978e-07	-0.421703569407795	0.524	0.667	0.0198155912884116	NR4A1	Colitis
6.44707475884125e-07	1.37894274500536	0.127	0.054	0.0216221993262018	P2RX5	Colitis
6.47186455472584e-07	-0.563853427218964	0.527	0.632	0.0217053393436395	AC020916.1	Colitis
6.67931150113796e-07	0.171320781658014	1	0.999	0.0224010749125165	MT-CO2	Colitis
6.88506778138019e-07	1.72203967514792	0.073	0.022	0.0230911403251929	PXYLP1	Colitis
7.07778076390402e-07	0.178526661565032	1	0.999	0.0237374611259813	MT-CO3	Colitis
7.35686308753339e-07	-0.525699410810138	0.431	0.555	0.0246734474229695	GZMM	Colitis
7.51189963873721e-07	-1.17246719600477	0.115	0.23	0.0251934090083968	GFI1	Colitis
7.62601427963609e-07	0.507743619864207	0.648	0.518	0.0255761266910435	PLP2	Colitis
7.77053593649351e-07	0.39349927264164	0.676	0.518	0.0260608234238119	RPS4Y1	Colitis
8.77624063217512e-07	-0.711059733587888	0.315	0.444	0.0294337558321889	ITGAL	Colitis
8.81733560243087e-07	-0.691032669516134	0.352	0.481	0.0295715801434327	SPN	Colitis
8.83122914443288e-07	-0.36755544987549	0.701	0.78	0.029618176304599	KRTCAP2	Colitis
9.43369665589088e-07	0.914012324720702	0.259	0.153	0.0316387318445268	GPCPD1	Colitis
1.00140135904173e-06	0.516603708057129	0.501	0.357	0.0335849987795414	CFLAR	Colitis
1.12986811466332e-06	-0.601129958586215	0.282	0.423	0.0378935168295784	JAML	Colitis
1.13588058790904e-06	-0.442824942644418	0.487	0.621	0.0380951631572935	WDR1	Colitis
1.19083479057213e-06	-1.5509788192585	0.065	0.164	0.0399382172062079	SPINK2	Colitis
1.25893501441819e-06	-0.516054172021901	0.513	0.621	0.0422221625135571	MZT2A	Colitis
1.32174744571696e-06	-0.143325500907322	1	1	0.0443287658344553	RPS24	Colitis
